date,ticker,baseline_selected,u1_selected,change_type
2018-09-28,2883,True,True,UNCHANGED
2018-09-28,2915,True,True,UNCHANGED
2018-09-28,3285,True,True,UNCHANGED
2018-09-28,4162,True,True,UNCHANGED
2018-09-28,4417,True,True,UNCHANGED
2018-09-28,4754,True,True,UNCHANGED
2018-09-28,5287,True,True,UNCHANGED
2018-09-28,5340,True,True,UNCHANGED
2018-09-28,5531,True,True,UNCHANGED
2018-09-28,6190,True,True,UNCHANGED
2018-09-28,6558,True,True,UNCHANGED
2018-09-28,6561,True,True,UNCHANGED
2018-09-28,6581,True,True,UNCHANGED
2018-09-28,8049,True,True,UNCHANGED
2018-09-28,9945,True,True,UNCHANGED
2018-10-31,1256,True,True,UNCHANGED
2018-10-31,1310,True,True,UNCHANGED
2018-10-31,2034,True,True,UNCHANGED
2018-10-31,2049,True,True,UNCHANGED
2018-10-31,2108,True,True,UNCHANGED
2018-10-31,2221,True,True,UNCHANGED
2018-10-31,2348,True,True,UNCHANGED
2018-10-31,2356,True,True,UNCHANGED
2018-10-31,2501,True,True,UNCHANGED
2018-10-31,2547,True,True,UNCHANGED
2018-10-31,2617,True,True,UNCHANGED
2018-10-31,2618,True,True,UNCHANGED
2018-10-31,2636,True,True,UNCHANGED
2018-10-31,2812,True,True,UNCHANGED
2018-10-31,2852,True,True,UNCHANGED
2018-10-31,3026,True,True,UNCHANGED
2018-10-31,3090,True,True,UNCHANGED
2018-10-31,3285,True,True,UNCHANGED
2018-10-31,3310,True,True,UNCHANGED
2018-10-31,3430,True,True,UNCHANGED
2018-10-31,3532,True,True,UNCHANGED
